test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,500,add,2.295e-06,1.6787e-05,1.6787e-05
bloom,500,contains,1.4450000000000001e-06,1.722e-05,1.722e-05
bloom,500,contains,1.147e-06,5.3e-06,5.3e-06
bloom,500,contains,9.770000000000001e-07,5.21e-06,5.21e-06
bloom,500,contains,9.400000000000001e-07,5.207e-06,5.207e-06
bloom,500,contains,9.400000000000001e-07,5.432000000000001e-06,5.432000000000001e-06
bloom,500,contains,9.22e-07,5.5810000000000004e-06,5.5810000000000004e-06
bloom,500,contains,8.480000000000001e-07,5.2500000000000006e-06,5.2500000000000006e-06
bloom,500,contains,1.0790000000000002e-06,6.503e-06,6.503e-06
bloom,500,contains,8.380000000000001e-07,5e-06,5e-06
bloom,500,contains,9.01e-07,5.497e-06,5.497e-06
bloom,500,contains,7.960000000000001e-07,4.896e-06,4.896e-06
bloom,500,contains,7.57e-07,7.267e-06,7.267e-06
bloom,500,contains,8.650000000000001e-07,4.816e-06,4.816e-06
bloom,500,contains,8.16e-07,4.607e-06,4.607e-06
bloom,500,contains,8.960000000000001e-07,5.167000000000001e-06,5.167000000000001e-06
bloom,500,contains,8.36e-07,4.965e-06,4.965e-06
bloom,500,contains,8.240000000000001e-07,4.735e-06,4.735e-06
bloom,500,contains,8.590000000000001e-07,7.742e-06,7.742e-06
bloom,500,contains,8.170000000000001e-07,4.95e-06,4.95e-06
bloom,500,contains,7.26e-07,4.612e-06,4.612e-06
bloom,500,contains,7.380000000000001e-07,4.658e-06,4.658e-06
bloom,500,contains,7.5e-07,4.658e-06,4.658e-06
bloom,500,contains,8.200000000000001e-07,5.352000000000001e-06,5.352000000000001e-06
bloom,500,contains,8.610000000000001e-07,5.2990000000000004e-06,5.2990000000000004e-06
bloom,500,contains,8.32e-07,8.917000000000001e-06,8.917000000000001e-06
bloom,500,contains,7.05e-07,7.228e-06,7.228e-06
bloom,500,contains,7.620000000000001e-07,4.75e-06,4.75e-06
bloom,500,contains,7.580000000000001e-07,4.936000000000001e-06,4.936000000000001e-06
bloom,500,contains,7.5e-07,4.856000000000001e-06,4.856000000000001e-06
bloom,500,contains,7.7e-07,4.5620000000000005e-06,4.5620000000000005e-06
bloom,500,contains,7.890000000000001e-07,4.972e-06,4.972e-06
bloom,500,contains,7.860000000000001e-07,4.823e-06,4.823e-06
bloom,500,contains,8.230000000000001e-07,7.648e-06,7.648e-06
bloom,500,contains,7.280000000000001e-07,4.554e-06,4.554e-06
bloom,500,contains,7.77e-07,4.969e-06,4.969e-06
bloom,500,contains,8.370000000000001e-07,4.695e-06,4.695e-06
